Reference, Value, Footprint, Datasheet, MPN, Manufacturer, Val, DNP, Manufaturer
"R13","R_100R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CR0402-FX-1000GLF","BOURNS","100R","",""
"C9","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"D3","TPD2EUSB30DRTR","quicklogic-quick-feather-board-footprints:SOT-3","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd2eusb30","TPD2EUSB30DRTR","Texas Instruments","","",""
"C10","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"U4","DPS310","quicklogic-quick-feather-board-footprints:PG-VLGA-8-2","https://www.infineon.com/dgdl/Infineon-DPS310-DataSheet-v01_01-EN.pdf?fileId=5546d462576f34750157750826c42242","DPS310","Infineon","","",""
"R16","R_200k_0402","quicklogic-quick-feather-board-footprints:0402-res","","RC0402FR-07200KL","YAGEO_(PHYCOMP)","200k","",""
"R15","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R14","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"U5","MC3635","quicklogic-quick-feather-board-footprints:MC3635","https://mcubemems.com/wp-content/uploads/2019/06/MC3635-Datasheet-APS-048-0044v1.6.pdf","MC3635","mCube","","",""
"C11","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"R19","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R21","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","1",""
"R22","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","1",""
"C12","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"C13","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"C15","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"C17","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"R18","R_4k7_0402","quicklogic-quick-feather-board-footprints:0402-res","","ERJ2GEJ472X","PANASONIC_ELECTRONIC_COMPONENTS","4k7","",""
"R20","R_4k7_0402","quicklogic-quick-feather-board-footprints:0402-res","","ERJ2GEJ472X","PANASONIC_ELECTRONIC_COMPONENTS","4k7","",""
"C16","C_4u7_0603","quicklogic-quick-feather-board-footprints:0603-cap","","C1608X5R1V475M080AC","TDK","4u7","",""
"C14","C_4u7_0603","quicklogic-quick-feather-board-footprints:0603-cap","","C1608X5R1V475M080AC","TDK","4u7","",""
"R23","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"TP6","TP_SMD1MM","quicklogic-quick-feather-board-footprints:Testpoint_smd_1mm","","N/A","N/A","","",""
"R26","R_100R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CR0402-FX-1000GLF","BOURNS","100R","",""
"R24","R_100R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CR0402-FX-1000GLF","BOURNS","100R","",""
"R28","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R29","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"J6","FTSH-105-01-L-DV-K","quicklogic-quick-feather-board-footprints:PinHeader_2x5_P1.27_SMD","http://suddendocs.samtec.com/prints/ftsh-1xx-xx-xxx-dv-xxx-xxx-mkt.pdf","FTSH-105-01-L-DV-K","Samtec Inc.","","",""
"C18","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"R34","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R32","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
